"r0","num_infected_seeds","hosp_probability_factor","cnt_reduction_workplace","cnt_reduction_other","compliance_delay_workplace","compliance_delay_other","doubling_time_baseline","pareto_num","q_selection","num_df_loglike","run_info","config_id_single"
3.37078,219,0.346195654776325,0.68217851079165,0.878765766565478,7,7,3.09424000296995,1,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.37333,225,0.354679307621443,0.755174199265749,0.860190773178567,6,7,3.10326680245238,2,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.37727,271,0.338414117067694,0.85238840331167,0.841689666127483,7,6,3.10168396137363,3,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.38229,249,0.341201803567912,0.783640956108603,0.855722419266892,6,7,3.09701346931935,4,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.3864,263,0.345515301716947,0.770982509545386,0.850135455010599,6,6,3.09774907811086,5,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.38975,264,0.362000473024929,0.739700098389313,0.860468772945832,6,5,3.10319786096297,6,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.39526,279,0.330509275554549,0.878063657147945,0.838502372935019,5,6,3.10028708769656,7,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.39682,259,0.332518481426276,0.867022402520576,0.841525701103057,6,6,3.09805293794077,8,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.39721,268,0.347899591728928,0.844276997091519,0.854710117035522,5,6,3.09553798829565,9,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.39835,254,0.358678549288749,0.882352204065221,0.831836902111256,6,5,3.09627735288854,10,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.39835,254,0.358678549288749,0.882352204065221,0.831836902111256,6,5,3.09783318940061,11,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.39835,254,0.358678549288749,0.882352204065221,0.831836902111256,6,5,3.10237925292287,12,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
3.40018,269,0.347538916931283,0.709486206843979,0.873994731709547,7,6,3.10143666281116,13,0.15,4997,"20201031_132751_param4_child_d73_05k_n10","3.37333_225_0.354679307621443_0.755174199265749_0.860190773178567_6_7"
