"r0","num_infected_seeds","hosp_probability_factor","cnt_reduction_workplace","cnt_reduction_other","compliance_delay_workplace","compliance_delay_other","doubling_time_baseline","pareto_num","q_selection","num_df_loglike","run_info","config_id_single"
3.41131,289,0.359583484654557,0.818026733073965,0.821944423014135,7,5,3.10175516392743,1,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.41151,267,0.38606407720698,0.925618558858884,0.843496344693126,6,7,3.09699419465833,2,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.41326,257,0.386260035133567,0.907424009812581,0.834547461034725,7,6,3.10502212946835,3,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.42125,286,0.426066710487436,0.886419998146999,0.818618281921968,6,6,3.103942740312,4,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.42204,267,0.38971025111163,0.712403525205883,0.862186580053987,5,6,3.09582949260832,5,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.42337,263,0.396857795135006,0.862977539211302,0.8519635432244,7,7,3.10367504622769,6,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.42367,245,0.461691140278801,0.80757526662745,0.859812880259692,7,7,3.10556069429843,7,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.4277,270,0.389257647140697,0.861582331949342,0.835273275276176,5,6,3.09558334703715,8,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.43437,254,0.382694437492788,0.924345280862148,0.815192247742009,6,5,3.09605615840181,9,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.43974,246,0.404218994219527,0.839367179896198,0.82835331046748,5,6,3.10498583808492,10,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.43974,246,0.404218994219527,0.839367179896198,0.82835331046748,5,6,3.10045035952682,11,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
3.44039,287,0.443888771611396,0.788525461922498,0.866751747919424,6,7,3.10466726310549,12,0.15,4996,"20201031_132800_param4_d73_05k_n10","3.42337_263_0.396857795135006_0.862977539211302_0.8519635432244_7_7"
